Date,Sequential_Number,Mitzvah_Type_Number,Summary,Sefaria_Link
2026-06-30,353,Negative 199,He prohibited us from eating chametz after midday of the fou...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.199?lang=bi
2026-06-30,354,Negative 200,He prohibited us - that chametz not be seen within all of ou...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.200?lang=bi
2026-07-01,355,Negative 201,He prohibited us - that chametz not be found in our possessi...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.201?lang=bi
2026-07-01,356,Negative 202,He prohibited the nazirite from drinking wine or [other drin...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.202?lang=bi
2026-07-02,357,Negative 203,He prohibited the nazirite from eating grapes; and if he ate...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.203?lang=bi
2026-07-02,358,Negative 204,He prohibited the nazirite from eating raisins,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.204?lang=bi
2026-07-03,359,Negative 205,He prohibited the nazirite from eating grape seeds,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.205?lang=bi
2026-07-03,360,Negative 206,He prohibited the nazirite from eating grape skins,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.206?lang=bi
2026-07-04,361,Negative 207,He prohibited the nazirite from becoming impure with a corps...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.207?lang=bi
2026-07-04,362,Negative 208,He prohibited the nazirite from entering into the tent of  a...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.208?lang=bi
2026-07-05,363,Negative 209,He prohibited the nazirite from shaving,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.209?lang=bi
2026-07-05,364,Negative 210,He prohibited - not to harvest all of what is planted,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.210?lang=bi
2026-07-06,365,Negative 211,He prohibited - not to glean the sheaves that fall in the fi...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.211?lang=bi
2026-07-06,366,Negative 212,He prohibited us from harvesting the ollalot (incomplete clu...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.212?lang=bi
2026-07-07,367,Negative 213,He prohibited - not to gather the single grapes that fall in...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.213?lang=bi
2026-07-07,368,Negative 214,He prohibited us from taking the forgotten sheaves,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.214?lang=bi
2026-07-08,369,Negative 215,He prohibited us from planting forbidden mixtures,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.215?lang=bi
2026-07-08,370,Negative 216,He prohibited us from planting grain - as well as other vege...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.216?lang=bi
2026-07-09,371,Negative 217,He prohibited us from breeding forbidden mixtures of animals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.217?lang=bi
2026-07-09,372,Negative 218,He prohibited us from doing work with a forbidden mixture of...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.218?lang=bi
2026-07-10,373,Negative 219,He prohibited us from preventing an animal from eating from ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.219?lang=bi
2026-07-10,374,Negative 220,He prohibited us from working the land in the seventh year,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.220?lang=bi
2026-07-11,375,Negative 221,He prohibited us from doing work on trees in the seventh yea...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.221?lang=bi
2026-07-11,376,Negative 222,He prohibited harvesting that which the land grew on its own...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.222?lang=bi
2026-07-12,377,Negative 223,He prohibited picking the fruit which grew on the trees in t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.223?lang=bi
2026-07-12,378,Negative 224,He prohibited working the land in the Jubilee year,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.224?lang=bi
2026-07-13,379,Negative 225,He prohibited us from harvesting the aftergrowth in the Jubi...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.225?lang=bi
2026-07-13,380,Negative 226,He prohibited harvesting fruit of the trees in the Jubilee y...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.226?lang=bi
2026-07-14,381,Negative 227,He prohibited - not to sell our land in the Land of Israel [...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.227?lang=bi
2026-07-14,382,Negative 228,He prohibited us from changing the open places of the Levite...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.228?lang=bi
2026-07-15,383,Negative 229,"He prohibited us from abandoning and ignoring the Levites, r...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.229?lang=bi
2026-07-15,384,Negative 230,He prohibited us - not to claim debts on the sabbatical year...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.230?lang=bi
2026-07-16,385,Negative 231,He prohibited the refraining from lending to some of us beca...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.231?lang=bi
2026-07-16,386,Negative 232,He prohibited us from refraining to give charity and comfort...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.232?lang=bi
2026-07-17,387,Negative 233,He prohibited the sending away of a Hebrew (Jewish) slave em...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.233?lang=bi
2026-07-17,388,Negative 234,"He prohibited that the lender seek out the borrower, when he...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.234?lang=bi
2026-07-18,389,Negative 235,He prohibited lending with interest,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.235?lang=bi
2026-07-18,390,Negative 236,He prohibited the borrower - that he should not borrow with ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.236?lang=bi
2026-07-19,391,Negative 237,He prohibited being involved with a loan with interest betwe...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.237?lang=bi
2026-07-19,392,Negative 238,He prohibited us - not to oppress the employee and not to de...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.238?lang=bi
2026-07-20,393,Negative 239,He prohibited us from taking collateral from borrowers into ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.239?lang=bi
2026-07-20,394,Negative 240,He prohibited us from keeping the collateral item from its o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.240?lang=bi
2026-07-21,395,Negative 241,He prohibited taking collateral from a widow - whether poor ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.241?lang=bi
2026-07-21,396,Negative 242,"He prohibited us from taking  in pawn, vessels with which pe...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.242?lang=bi
2026-07-22,397,Negative 243,He prohibited - to not steal (kidnap) an Israelite person,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.243?lang=bi
2026-07-22,398,Negative 244,He prohibited us - that we not steal money,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.244?lang=bi
2026-07-23,399,Negative 245,He prohibited us - that we not steal that to we which we do ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.245?lang=bi
2026-07-23,400,Negative 246,He prohibited us - that we not steal the boundary of the lan...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.246?lang=bi
2026-07-24,401,Negative 247,He prohibited us - regarding that which is found with us tha...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.247?lang=bi
2026-07-24,402,Negative 248,He prohibited us - that we not deny obligations that we are ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.248?lang=bi
2026-07-25,403,Negative 249,He prohibited us from swearing [falsely] about the denial of...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.249?lang=bi
2026-07-25,404,Negative 250,He prohibited some of us from wronging others of us in trade...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.250?lang=bi
2026-07-26,405,Negative 251,He prohibited some of us from wronging others of us with wor...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.251?lang=bi
2026-07-26,406,Negative 252,He prohibited us from wronging the convert with words,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.252?lang=bi
2026-07-27,407,Negative 253,He prohibited us from wronging the convert and causing him d...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.253?lang=bi
2026-07-27,408,Negative 254,"He prohibited us from returning, a slave who ran away from o...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.254?lang=bi
2026-07-28,409,Negative 255,That He also prohibited us from wronging a slave that runs a...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.255?lang=bi
2026-07-28,410,Negative 256,That He prohibited us from afflicting the orphan and the wid...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.256?lang=bi
2026-07-29,411,Negative 257,He prohibited us from working the Hebrew (Jewish) slave with...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.257?lang=bi
2026-07-29,412,Negative 258,That He prohibited us - that we not sell a Hebrew (Jewish) s...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.258?lang=bi
2026-07-30,413,Negative 259,That He prohibited us from working a Hebrew (Jewish) slave w...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.259?lang=bi
2026-07-30,414,Negative 260,That He prohibited us from allowing an idolater that dwells ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.260?lang=bi
2026-07-31,415,Negative 261,That He prohibited us - that we not sell a Hebrew (Jewish) m...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.261?lang=bi
2026-07-31,416,Negative 262,He prohibited afflicting a Hebrew (Jewish) maidservant if on...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.262?lang=bi
2026-08-01,417,Negative 263,That He prohibited us - that we not sell a [captive] woman o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.263?lang=bi
2026-08-01,418,Negative 264,He prohibited us from exploiting a captive woman (yefat toar...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.264?lang=bi
2026-08-02,419,Negative 265,He prohibited us from putting our thoughts to fabricating ma...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.265?lang=bi
2026-08-02,420,Negative 266,He prohibited us from putting our thoughts to coveting that ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.266?lang=bi
2026-08-03,421,Negative 267,He prohibited the worker from eating from something that he ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.267?lang=bi
2026-08-03,422,Negative 268,He prohibited the worker from taking more than he can eat fr...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.268?lang=bi
2026-08-04,423,Negative 269,He prohibited us from ignoring a lost object,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.269?lang=bi
2026-08-04,424,Negative 270,That He prohibited us from forsaking someone forlorn with a ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.270?lang=bi
2026-08-05,425,Negative 271,He prohibited the doing of inequity in the measurement of la...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.271?lang=bi
2026-08-05,426,Negative 272,That He prohibited us from having weights and measures that ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.272?lang=bi
2026-08-06,427,Negative 273,That He prohibited us from doing inequity in judgement,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.273?lang=bi
2026-08-06,428,Negative 274,That He prohibited the judge from taking a bribe from the di...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.274?lang=bi
2026-08-07,429,Negative 275,That He prohibited the judge from honoring one of the disput...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.275?lang=bi
2026-08-07,430,Negative 276,That He prohibited the judge from being afraid of a man who ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.276?lang=bi
2026-08-08,431,Negative 277,That He prohibited the judge from having compassion on the p...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.277?lang=bi
2026-08-08,432,Negative 278,"That He prohibited the judge, when he knows that [a disputan...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.278?lang=bi
2026-08-09,433,Negative 279,That He prohibited the judge - that he not have mercy upon s...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.279?lang=bi
2026-08-09,434,Negative 280,That He prohibited the judge from slanting the judgement of ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.280?lang=bi
2026-08-10,435,Negative 281,That He prohibited the judge - not to listen to one of the d...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.281?lang=bi
2026-08-10,436,Negative 282,He prohibited the judge - to not veer according to the major...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.282?lang=bi
2026-08-11,437,Negative 283,He prohibited the judge from inclining towards the opinion o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.283?lang=bi
2026-08-11,438,Negative 284,He prohibited the Great Court and the head of the yeshiva - ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.284?lang=bi
2026-08-12,439,Negative 285,He prohibited giving false testimony,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.285?lang=bi
2026-08-12,440,Negative 286,He prohibited the judge - that he not accept testimony of a ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.286?lang=bi
2026-08-13,441,Negative 287,That He prohibited the judge from accepting the testimony of...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.287?lang=bi
2026-08-13,442,Negative 288,"That He prohibited the judge to declare punishments, or to m...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.288?lang=bi
2026-08-14,443,Negative 289,That He prohibited the judge - not to kill someone clean and...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.289?lang=bi
2026-08-14,444,Negative 290,That He prohibited the judge to declare punishments by way o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.290?lang=bi
2026-08-15,445,Negative 291,That He prohibited the witness from speaking about the case ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.291?lang=bi
2026-08-15,446,Negative 292,That He prohibited us from killing those liable for the deat...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.292?lang=bi
2026-08-16,447,Negative 293,That He prohibited us - that we not have compassion upon a p...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.293?lang=bi
2026-08-16,448,Negative 294,"He prohibited punishing someone forced, for the sin that he ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.294?lang=bi
2026-08-17,449,Negative 295,He prohibited the taking of ransom from an unintentional kil...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.295?lang=bi
2026-08-17,450,Negative 296,He prohibited the taking of ransom from an intentional murde...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.296?lang=bi
2026-08-18,451,Negative 297,He prohibited us from being negligent about saving the life ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.297?lang=bi
2026-08-18,452,Negative 298,He prohibited us from leaving obstacles and stumbling blocks...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.298?lang=bi
2026-08-19,453,Negative 299,He prohibited some of us from making others stumble,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.299?lang=bi
2026-08-19,454,Negative 300,That He prohibited the judge from striking the sinner with g...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.300?lang=bi
2026-08-20,455,Negative 301,He prohibited us from being a talebearer,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.301?lang=bi
2026-08-20,456,Negative 302,He prohibited that some of us hate others of us,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.302?lang=bi
2026-08-21,457,Negative 303,He prohibited - that some of us not embarrass others of us; ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.303?lang=bi
2026-08-21,458,Negative 304,That is that He prohibited - that some of us not take reveng...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.304?lang=bi
2026-08-22,459,Negative 305,"He prohibited us - that we not bear a grudge, even if we do ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.305?lang=bi
2026-08-22,460,Negative 306,He prohibited us - that we not take the nest at the time of ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.306?lang=bi
2026-08-23,461,Negative 307,He prohibited shaving off the scab [of tsaraat],https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.307?lang=bi
2026-08-23,462,Negative 308,He prohibited us from cutting off signs of impurity or burni...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.308?lang=bi
2026-08-24,463,Negative 309,He prohibited us from working and planting in the harsh gull...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.309?lang=bi
2026-08-24,464,Negative 310,He prohibited us from keeping a sorcerer alive,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.310?lang=bi
2026-08-25,465,Negative 311,He prohibited a groom from leaving his home in order to be i...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.311?lang=bi
2026-08-25,466,Negative 312,He prohibited us from dissenting against those who are the m...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.312?lang=bi
2026-08-26,467,Negative 313,"He prohibited us from adding to the Torah, both to what is w...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.313?lang=bi
2026-08-26,468,Negative 314,"He prohibited us from subtracting from the Torah, neither fr...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.314?lang=bi
2026-08-27,469,Negative 315,He prohibited us from cursing a judge,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.315?lang=bi
2026-08-27,470,Negative 316,He prohibited us from cursing a nassi (elevated one),https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.316?lang=bi
2026-08-28,471,Negative 317,He prohibited us from cursing any Israelite person,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.317?lang=bi
2026-08-28,472,Negative 318,He prohibited - not to curse father and mother,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.318?lang=bi
2026-08-29,473,Negative 319,He prohibited hitting father and mother,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.319?lang=bi
2026-08-29,474,Negative 320,He prohibited doing work on the Shabbat,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.320?lang=bi
2026-08-30,475,Negative 321,He prohibited - not walking outside of the city's perimeter ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.321?lang=bi
2026-08-30,476,Negative 322,He prohibited enacting the punishments against the sinners a...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.322?lang=bi
2026-08-31,477,Negative 323,He prohibited doing work on the the first day of Pesach,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.323?lang=bi
2026-08-31,478,Negative 324,He prohibited doing work on the the seventh day of Pesach,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.324?lang=bi
2026-09-01,479,Negative 325,He prohibited doing work on the day of Atzeret (Shavuot),https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.325?lang=bi
2026-09-01,480,Negative 326,He prohibited doing work on the day of Rosh Hashanah,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.326?lang=bi
2026-09-02,481,Negative 327,He prohibited doing work on the first day of the Holiday (Su...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.327?lang=bi
2026-09-02,482,Negative 328,He prohibited doing work on the eighth day of the Holiday (S...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.328?lang=bi
2026-09-03,483,Negative 329,He prohibited doing work on Yom Kippur,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.329?lang=bi
2026-09-03,484,Negative 330,He prohibited us from sexual intercourse with the mother,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.330?lang=bi
2026-09-04,485,Negative 331,He prohibited sexual intercourse with the father's wife,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.331?lang=bi
2026-09-04,486,Negative 332,He prohibited sexual intercourse with the sister,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.332?lang=bi
2026-09-05,487,Negative 333,He prohibited sexual intercourse with the daughter of his fa...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.333?lang=bi
2026-09-05,488,Negative 334,He prohibited us from sexual intercourse with the daughter o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.334?lang=bi
2026-09-06,489,Negative 335,He prohibited us from sexual intercourse with the daughter o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.335?lang=bi
2026-09-06,490,Negative 336,He prohibited us from sexual intercourse with the daughter h...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.336?lang=bi
2026-09-07,491,Negative 337,He prohibited us from sexual intercourse with a woman and he...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.337?lang=bi
2026-09-07,492,Negative 338,He prohibited us from sexual intercourse with a woman and he...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.338?lang=bi
2026-09-08,493,Negative 339,He prohibited us from sexual intercourse with a woman and he...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.339?lang=bi
2026-09-08,494,Negative 340,He prohibited us from sexual intercourse with a sister of th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.340?lang=bi
2026-09-09,495,Negative 341,He prohibited us from sexual intercourse with a sister of th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.341?lang=bi
2026-09-09,496,Negative 342,He prohibited us from sexual intercourse with the wife of th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.342?lang=bi
2026-09-10,497,Negative 343,He prohibited us from sexual intercourse with the wife of th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.343?lang=bi
2026-09-10,498,Negative 344,He prohibited us from sexual intercourse with the wife of th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.344?lang=bi
2026-09-11,499,Negative 345,He prohibited us from sexual intercourse with the sister of ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.345?lang=bi
2026-09-11,500,Negative 346,He prohibited us from sexual intercourse with a menstruant d...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.346?lang=bi
2026-09-12,501,Negative 347,He prohibited us from sexual intercourse with a married woma...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.347?lang=bi
2026-09-12,502,Negative 348,He prohibited us from sexual relations with animals - their ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.348?lang=bi
2026-09-13,503,Negative 349,He prohibited us from having women engage in sexual relation...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.349?lang=bi
2026-09-13,504,Negative 350,He prohibited us from sexual intercourse with a male,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.350?lang=bi
2026-09-14,505,Negative 351,He prohibited us from sexual intercourse with the father,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.351?lang=bi
2026-09-14,506,Negative 352,He prohibited - to not have sexual intercourse with the fath...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.352?lang=bi
2026-09-15,507,Negative 353,He prohibited approaching one of these forbidden sexual rela...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.353?lang=bi
2026-09-15,508,Negative 354,He prohibited - that a mamzer (one born from certain forbidd...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.354?lang=bi
2026-09-16,509,Negative 355,He prohibited - not to have sexual intercourse with a woman ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.355?lang=bi
2026-09-16,510,Negative 356,He prohibited a man from bringing back his divorcee after sh...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.356?lang=bi
2026-09-17,511,Negative 357,He prohibited other men from having sexual intercourse with ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.357?lang=bi
2026-09-17,512,Negative 358,He prohibited a rapist from divorcing the women he raped,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.358?lang=bi
2026-09-18,513,Negative 359,He prohibited one who puts out a bad name [upon his wife] fr...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.359?lang=bi
2026-09-18,514,Negative 360,He prohibited one whose sexual organs have been destroyed - ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.360?lang=bi
2026-09-19,515,Negative 361,He prohibited the destruction of male sexual organs of any a...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.361?lang=bi
2026-09-19,516,Negative 362,He prohibited us - that we not appoint as a king upon oursel...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.362?lang=bi
2026-09-20,517,Negative 363,He prohibited the king from having many horses,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.363?lang=bi
2026-09-20,518,Negative 364,That He prohibited the king from having many wives,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.364?lang=bi
2026-09-21,519,Negative 365,That He prohibited the king from having much money specifica...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.365?lang=bi
2026-10-04,520,Conclusion,Completion of Sefer HaMitzvot study,https://www.sefaria.org/Sefer_HaMitzvot%2C_Conclusion_for_Positive_Commandments?lang=bi
